Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648643330099,52,79,70,13,66,30,67,61,514
1648643330111,51,78,69,15,53,34,66,61,520
1648643330120,54,79,75,13,61,34,66,59,513
1648643330128,53,82,68,14,62,36,69,58,512
1648643330136,49,76,71,10,62,36,64,58,517
1648643330145,45,76,71,12,59,30,72,58,516
1648643330153,52,80,73,13,63,35,67,58,510
1648643330160,48,75,69,9,55,40,64,61,515
1648643330170,47,78,67,18,57,32,67,60,515
1648643330178,51,83,74,12,59,34,64,58,516
1648643330185,46,80,68,9,60,35,65,51,515
1648643330193,51,74,72,11,61,32,63,58,522
1648643330201,47,78,68,14,60,39,68,56,511
1648643330209,45,74,68,10,65,29,63,53,511
1648643330217,51,74,72,13,64,31,69,56,517
1648643330224,48,84,68,15,62,33,71,53,516
1648643330232,45,76,72,13,59,37,68,56,508
1648643330243,48,80,69,9,59,33,69,63,513
1648643330253,50,75,71,16,62,35,73,59,517
1648643330261,46,77,68,11,60,32,66,53,514
1648643330269,52,80,71,11,60,35,68,61,522
1648643330277,44,82,68,15,62,37,65,61,516
1648643330284,51,82,75,17,60,33,65,53,515
1648643330294,51,85,71,14,62,36,66,55,523
1648643330302,49,78,62,25,54,39,57,69,522
1648643330310,59,75,78,11,63,26,74,69,510
1648643330318,64,85,76,4,70,31,67,70,508
1648643330326,50,74,84,6,75,25,78,58,511
1648643330334,44,89,73,7,68,33,69,65,516
1648643330342,48,78,78,13,66,38,63,56,519
1648643330351,49,68,69,12,66,30,63,54,512
1648643330361,50,79,74,13,60,32,65,56,517
1648643330371,53,84,68,8,58,29,67,57,519
1648643330980,51,78,69,10,56,35,73,58,517
1648643330989,47,79,69,17,58,35,67,62,518
1648643330997,46,75,72,12,63,36,67,53,516
1648643331005,51,82,66,14,57,31,70,57,514
1648643331012,46,78,70,13,57,34,66,53,511
1648643331020,47,81,72,12,61,34,67,57,513
1648643331028,56,85,71,17,58,30,65,53,508
1648643331038,37,90,62,15,70,23,79,51,525
1648643331046,58,73,60,34,49,41,63,60,519
1648643331054,56,72,81,14,58,41,58,65,514
1648643331062,42,74,67,15,55,30,67,51,512
1648643331071,48,75,67,14,62,33,67,54,508
1648643331079,47,75,66,12,59,31,68,61,515
1648643331086,48,80,69,14,62,33,65,51,514
1648643331094,45,80,67,13,61,34,68,51,513
1648643331102,46,76,71,17,59,32,66,56,515
1648643331113,49,82,69,16,59,37,65,54,511
1648643331122,55,81,68,16,63,29,66,55,510
1648643331130,45,78,74,15,60,33,69,55,513
1648643331137,53,81,70,14,60,32,63,57,519
1648643331145,44,81,72,13,61,37,69,58,512
1648643331153,48,79,70,16,58,32,67,57,517
1648643331161,48,86,70,9,61,39,68,58,515
